edition,edition_entry_id,desmoulins_page,desmoulins_chapter,desmoulins_term
desmoulins,row413,456,Chap. LXXXIIII,Du glaucium.
desmoulins,row414,456,Chap. LXXXV,De la colleforte.
desmoulins,row415,457,Chap. LXXXVI,De la colle de poisson.
desmoulins,row416,457,Chap. LXXXVII,Du glu.
desmoulins,row417,458,Chap. LXXXVIII,Du grateron.
desmoulins,row418,458,Chap. LXXXIX,De alysson.
desmoulins,row419,459,Chap. XC,De asclepias.
desmoulins,row420,460,Chap. XCI,De atractylis.
desmoulins,row421,462,Chap. XCII,Du polycnemon.
desmoulins,row422,462,Chap. XCIII,De clinopodium.
desmoulins,row423,463,Chap. XCIIII,De leontopetalon.
desmoulins,row424,463,Chap. XCV,Du teucrium.
desmoulins,row425,464,Chap. XCVI,De la germandree.
desmoulins,row426,465,Chap. XCVII,De leucas.
desmoulins,row427,465,Chap. XCVIII,De lychnis.
desmoulins,row428,466,Chap. XCIX,Du lis.
desmoulins,row429,467,Chap. C,Du marrube noir.
desmoulins,row430,468,Chap. CI,De la melisse.
desmoulins,row431,469,Chap. CII,Du marrube.
desmoulins,row432,470,Chap. CIII,De stachys.
desmoulins,row433,471,Chap. CIIII,De la langue de cerf.
desmoulins,row434,471,Chap. CV,Du phalangium.
desmoulins,row435,472,Chap. CVI,Du trefle.
desmoulins,row436,474,Chap. CVII,Du polium.
desmoulins,row437,475,Chap. CVIII,Du scordium.
desmoulins,row438,476,Chap. CIX,Du pas de cheval.
desmoulins,row439,478,Chap. CX,De l'armoise.
desmoulins,row440,478,Chap. CXI,De l'armoise a petites feuilles.
desmoulins,row441,480,Chap. CXII,De ambrosia.
desmoulins,row442,481,Chap. CXIII,Du pimen.
desmoulins,row443,481,Chap. CXIIII,Du bec de grue.
desmoulins,row444,484,Chap. CXV,Du gnaphalium.
desmoulins,row445,485,Chap. CXVI,Des masses.
desmoulins,row446,485,Chap. CXVII,De circaea.
desmoulins,row447,486,Chap. CXVIII,De oenanthe.
desmoulins,row448,487,Chap. CXIX,De conyza.
desmoulins,row449,488,Chap. CXX,Du lis sauvage.
desmoulins,row450,489,Chap. CXXI,Du violier.
desmoulins,row451,490,Chap. CXXII,De crataeogonum.
desmoulins,row452,491,Chap. CXXIII,De phyllon.
desmoulins,row453,491,Chap. CXXIIII,Du covillon.
desmoulins,row454,491,Chap. CXXV,D'un autre covillon.
desmoulins,row455,491,Chap. CXXVI,Du satyrion.
desmoulins,row456,492,Chap. CXXVII,Du satyrion erythronium.
desmoulins,row457,494,Chap. CXXVIII,De horminum.
desmoulins,row458,495,Chap. CXXIX,De hedysarum.
desmoulins,row459,496,Chap. CXXX,De onosma.
desmoulins,row460,497,Chapitre CXXXI,"De nymphaea, ou nenufar."
desmoulins,row461,497,Chap. CXXXII,"De la seconde espece de nymphaea, ou nenufar."
desmoulins,row462,498,Chap. CXXXIII,De androsaces.
desmoulins,row463,499,Chap. CXXXIIII,"Du ceterac, ou asplenum."
desmoulins,row464,500,Chap. CXXXV,De hemionitis.
desmoulins,row465,501,Chap. CXXXVI,De anthyllis.
desmoulins,row466,502,Chap. CXXXVII,De la camomille.
desmoulins,row467,503,Chap. CXXXVIII,De la matricaire.
desmoulins,row468,504,Chap. CXXXIX,"De buphthalmum, oeil de boeuf."
desmoulins,row469,506,Chap. CXL,De la pivoine.
desmoulins,row470,507,Chap. CXLI,De lithospermum.
desmoulins,row471,508,Chap. CXLII,De phalaris.
desmoulins,row472,508,Chap. CXLIII,De la garance.
desmoulins,row473,509,Chap. CXLIIII,De lonchitis.
desmoulins,row474,509,Chap. CXLV,D'un'autre espece de lonchitis.
desmoulins,row475,510,Chap. CXLVI,De la guimauve.
desmoulins,row476,511,Chap. CXLVII,De la guimauve sauvage.
desmoulins,row477,512,Chap. CXLVIII,Du chanvre.
desmoulins,row478,513,Chap. CXLIX,De anagyris.
desmoulins,row479,514,Chap. CL,De cepaea.
desmoulins,row480,514,Chap. CLI,De alisma.
desmoulins,row481,515,Chap. CLII,De onobrychis.
desmoulins,row482,515,Chap. CLIII,De mille-pertuis.
desmoulins,row483,515,Chap. CLIIII,De ascyron.
desmoulins,row484,515,Chap. CLV,De androsaemon.
desmoulins,row485,515,Chap. CLVI,De coris.
desmoulins,row486,517,Chap. CLVII,De l'ive arthetique.
desmoulins,row487,519,Chap. I,"es commentaires de M. Pierre Andre Matthioli, medecin senois, sur le IIII. livre de Pedace Dioscoride Anazarbeen, de la matiere medecinale. Preface. De la betoine."
desmoulins,row488,520,Chap. II,De britanica.
desmoulins,row489,522,Chap. III,De lysimachia.
desmoulins,row490,523,Chap. IIII,De la renouee.
desmoulins,row491,524,Chap. V,Du genoillet.
desmoulins,row492,525,Chap. VI,De la pervanche ou clematis.
desmoulins,row493,525,Chap. VII,De la seconde espece de pervanche.
desmoulins,row494,526,Chap. VIII,De polemonia.
desmoulins,row495,527,Chap. IX,Du symphytum petraeum.
desmoulins,row496,530,Chap. X,De holostium.
desmoulins,row497,531,Chap. XI,De stoebe.
desmoulins,row498,532,Chap. XII,Du clymenum.
desmoulins,row499,532,Chap. XIII,Du periclymenum.
desmoulins,row500,533,Chap. XIIII,De tribulus.
desmoulins,row501,534,Chap. XV,De la saxifrage.
desmoulins,row502,536,Chap. XVI,Du limonium.
desmoulins,row503,537,Chap. XVII,De lagopus.
desmoulins,row504,539,Chap. XVIII,De medium.
desmoulins,row505,539,Chap. XIX,De epimedium.
desmoulins,row506,540,Chap. XX,Du glais.
desmoulins,row507,540,Chap. XXI,De sparganium.
desmoulins,row508,541,Chap. XXII,Du glaieul puant ou sauvage.
desmoulins,row509,541,Chap. XXIII,De l'orcanette.
desmoulins,row510,542,Chap. XXIIII,De lycopsis.
desmoulins,row511,543,Chap. XXV,De la buglosse sauvage.
desmoulins,row512,543,Chap. XXVI,Du basilic sauvage.
desmoulins,row513,544,Chap. XXVII,Du basilic d'eau.
desmoulins,row514,544,Chap. XXVIII,"Du grame, ou dent de chien."
desmoulins,row515,546,Chap. XXIX,De sideritis.
desmoulins,row516,546,Chap. XXX,De la seconde espece de sideritis.
desmoulins,row517,546,Chap. XXXI,De la troisieme espece de sideritis.
desmoulins,row518,548,Chap. XXXII,De achillea.
desmoulins,row519,549,Chap. XXXIII,De la ronce.
desmoulins,row520,549,Chap. XXXIIII,De la ronce d'Ida.
desmoulins,row521,550,Chap. XXXV.,De helxine.
desmoulins,row522,550,Chap. XXXVI,De elatine.
desmoulins,row523,551,Chap. XXXVII,De l'agrimoine.
desmoulins,row524,553,Chap. XXXVIII,De la quintefeuille.
desmoulins,row525,555,Chap. XXXIX,De l'ivraie sauvage.
desmoulins,row526,555,Chap. XL,De la racine d'ida.
desmoulins,row527,555,Chap. XLI,De la racine sentant les roses.
desmoulins,row528,556,Chap. XLII,De la queue de cheval ou prelle.
desmoulins,row529,557,Chap. XLIII,Du vermillon.
desmoulins,row530,558,Chap. XLIIII,De tragium.
desmoulins,row531,558,Chap. XLV,D'une autre espece de tragium.
desmoulins,row532,560,Chap. XLVI,De tragus.
desmoulins,row533,560,Chap. XLVII,Du ionc.
desmoulins,row534,561,Chap. XLVIII,De l'hepatique.
desmoulins,row535,562,Chap. XLIX,De paronychie.
desmoulins,row536,563,Chap. L,De chrysocome.
desmoulins,row537,563,Chap. LI,De chysogonum.
desmoulins,row538,563,Chap. LII,De helichrysum.
desmoulins,row539,565,Chap. LIII,De chrysanthemum.
desmoulins,row540,566,Chap. LIIII,De ageratum.
desmoulins,row541,567,Chapitre LV,De la vervene droitte.
desmoulins,row542,568,Chap. LVI,De la vervene basse.
desmoulins,row543,569,Chap. LVII,De astragalus.
desmoulins,row544,569,Chap. LVIII,Du vaciet.
desmoulins,row545,570,Chap. LIX,Du coquelicoc.
desmoulins,row546,570,Chap. LX,Du pavot des iardins.
desmoulins,row547,572,Chap. LXI,Du pavot cornu.
desmoulins,row548,572,Chap. LXII,Du pavot écumant.
desmoulins,row549,573,Chap. LXIII,De hypecoum.
desmoulins,row550,573,Chap. LXIIII,Du iusquiame.
desmoulins,row551,575,Chap. LXV,De l'herbe aux puces.
desmoulins,row552,576,Chap. LXVI,De la morelle.
desmoulins,row553,577,Cha. LXVII,De l'alchequange.
desmoulins,row554,577,Chap. LXVIII,Du solanum dormitif.
desmoulins,row555,577,Chap. LXIX,Du solanum furieus.
desmoulins,row556,580,Chap. LXX,De dorycnium.
desmoulins,row557,580,Chap. LXXI,De la mandragore.
desmoulins,row558,582,Chap. LXXII,De l'aconit.
desmoulins,row559,582,Chap. LXXIII,D'un autre aconit.
desmoulins,row560,589,Chap. LXXIIII,De la cigue.
desmoulins,row561,590,Chap. LXXV,De l'if.
desmoulins,row562,590,Chap. LXXVI,De apocynum.
desmoulins,row563,591,Chap. LXXVII,De la rosage.
desmoulins,row564,592,Chap. LXXVIII,Des champignons.
desmoulins,row565,593,Chap. LXXIX,Du colchicon.
desmoulins,row566,594,Chap. LXXX,De ephemerum.
desmoulins,row567,596,Chap. LXXXI,De la parietaire.
desmoulins,row568,597,Chap. LXXXII,De alsine.
desmoulins,row569,597,Chap. LXXXIII,De la lentille d'eau.
desmoulins,row570,598,Chap. LXXXIIII,De la grande ioubarbe.
desmoulins,row571,598,Chap. LXXXV,De la petite ioubarbe.
desmoulins,row572,598,Chap. LXXXVI,De la troisieme espece de ioubarbe.
desmoulins,row573,600,Chap. LXXXVII,Du nombril de Venus.
desmoulins,row574,600,Chap. LXXXVIII,D'un autre nombril de Venus.
desmoulins,row575,601,Chap. LXXXIX,De l'ortie.
desmoulins,row576,602,Chap. XC,De l'ortie puante.
desmoulins,row577,603,Chap. XCI,Du petit muguet.
desmoulins,row578,604,Chap. XCII,Du senesson.
desmoulins,row579,604,Chap. XCIII,Du thalictrum.
desmoulins,row580,605,Chap. XCIIII,De la coralline.
desmoulins,row581,605,Chap. XCV,Du fucus marin.
desmoulins,row582,606,Chap. XCVI,De potamogeton.
desmoulins,row583,607,Chap. XCVII,De stratiotes.
desmoulins,row584,607,Chap. XCVIII,De la millefeuille.
desmoulins,row585,608,Chap. XCIX,Du bovillon.
desmoulins,row586,611,Chap. C,De aethiopis.
desmoulins,row587,612,Chap. CI,De arction.
desmoulins,row588,612,Chap. CII,Du glouteron.
desmoulins,row589,613,Chap. CIII,De petasites.
desmoulins,row590,613,Chap. CIIII,De epipactis.
desmoulins,row591,614,Chap. CV,De la fumeterre.
desmoulins,row592,615,Chap. CVI,Du lotus privé.
desmoulins,row593,615,Chap. CVII,Du lotus sauvage.
desmoulins,row594,616,Chap. CVIII,Du cytise.
desmoulins,row595,617,Chap. CXIX,Du lotus d'Egypte
desmoulins,row596,618,Chap. CX,De myriophyllum.
desmoulins,row597,619,Chap. CXI,De myrrhis.
desmoulins,row598,620,Chap. CXII,De myagrum.
desmoulins,row599,620,Chap. CXIII,De onagra.
desmoulins,row600,621,Chap. CXIIII,Du cirsium.
desmoulins,row601,621,Chap. CXV,"De aster atticus, ou espargoutte menue."
desmoulins,row602,623,Chap. CXVI,De isopyrum.
desmoulins,row603,623,Chap. CXVII,De la violette de Mars.
desmoulins,row604,625,Chap. CXVIII,De cacalia.
desmoulins,row605,625,Chap. CXIX,De bunium.
desmoulins,row606,625,Chap. CXX,De pseudobunium.
desmoulins,row607,625,Chap. CXXI,De chamaecissus.
desmoulins,row608,626,Chap. CXXII,De chamaeleuce.
desmoulins,row609,626,Chap. CXXIII,De la borrache.
desmoulins,row610,627,Chap. CXXIIII,Du cynoglosse.
desmoulins,row611,628,Chap. CXXV,De phyteuma.
desmoulins,row612,629,Cha. CXXVI.,Du leontopodium.
desmoulins,row613,629,Chap. CXXVII,De hippoglossum.
desmoulins,row614,630,Chap. CXXVIII,Du antirahinum.
desmoulins,row615,631,Chap. CXXIX,De catanance.
desmoulins,row616,631,Chap. CXXX,Du tripolium.
desmoulins,row617,632,Chap. CXXXI,Des cheveux de Venus.
desmoulins,row618,632,Chap. CXXXII,Du polytrichon.
desmoulins,row619,633,Chap. CXXXIII,Du petit glouteron.
desmoulins,row620,634,Chap. CXXXIIII,De aegilops.
desmoulins,row621,635,Chap. CXXXV,De l'avoine sauvage.
desmoulins,row622,635,Chap. CXXXVI,De glaux.
desmoulins,row623,636,Chap. CXXXVII,De polygala.
desmoulins,row624,636,Cha. CXXVIII.,De la linaire.
desmoulins,row625,636,Chap. CXXXIX,Du liseron aspre.
desmoulins,row626,637,Chap. CXL,Du grand liseron.
desmoulins,row627,638,Chap. CXLI,Du rucs.
desmoulins,row628,639,Chap. CXLII,Du laurier alexandrin.
desmoulins,row629,640,Chap. CXLIII,De la laureole.
desmoulins,row630,640,Chap. CXLIIII,De la laureole masle.
desmoulins,row631,641,Chap. CXLV,De l'ellebore blanc.
desmoulins,row632,641,Chap. CXLVI,De l'ellebore noir.
desmoulins,row633,645,Chap. CXLVII,Du grand sesamoides.
desmoulins,row634,645,Chap. CXLVIII,Du petit sesamoides.
desmoulins,row635,645,Chap. CXLIX,Du concombre sauvage.
desmoulins,row636,647,Chap. CL,De l'herbe aux pous.
desmoulins,row637,648,Chap. CLI,De la thapsie.
desmoulins,row638,649,Chap. CLII,Du genest d'Espagne.
desmoulins,row639,650,Chap. CLIII,De silybum.
desmoulins,row640,650,Chap. CLIIII,De ben.
desmoulins,row641,653,Chap. CLV,Du narcisse.
desmoulins,row642,655,Chap. CLVI,De hippophaes.
desmoulins,row643,655,Chap. CLVII,De hippophaestum.
desmoulins,row644,656,Chap. CLVIII,De la paume-dieu.
desmoulins,row645,656,Chap. CLIX,Des tithymales.
desmoulins,row646,660,Chap. CLX,De pityusa.
desmoulins,row647,660,Chap. CLXI,De l'espurge.
desmoulins,row648,661,Chap. CLXII,De peplus.
desmoulins,row649,661,Chap. CLXIII,De peplis.
desmoulins,row650,662,Chap. CLXIIII,De chamaesyce.
desmoulins,row651,662,Chap. CLXV,De la scammonee.
desmoulins,row652,663,Chap. CLXVI,De la chamelee.
desmoulins,row653,663,Chap. CLXVII,De la thymelee.
desmoulins,row654,664,Chap. CLXVIII,Du sureau.
desmoulins,row655,667,Chap. CLXIX,De picnocomum.
desmoulins,row656,667,Chap. CLXX,De apios.
desmoulins,row657,668,Chap. CLXXI,De la coloquinte.
desmoulins,row658,668,Chap. CLXXII,De la goutte ou teigne de thym.
desmoulins,row659,671,Chap. CLXXIII,De alypum.
desmoulins,row660,671,Chap. CLXXIIII,De empetrum.
desmoulins,row661,672,Chap. CLXXV,De la vigne sauvage.
desmoulins,row662,672,Chap. CLXXVI,De la coulevree.
desmoulins,row663,673,Chap. CLXXVII,De la coulevree noire.
desmoulins,row664,675,Chap. CLXXVIII,De la feuchiere masle.
desmoulins,row665,675,Chap. CLXXIX,De la feuchiere femelle.
desmoulins,row666,676,Chap. CLXXX,Du polypode.
desmoulins,row667,677,Chap. CLXXXI,De la feuchiere de chesne.
desmoulins,row668,678,Chap. CLXXXII,Du saffran bastard.
desmoulins,row669,678,Chap. CLXXXIII,De la mercuriale.
desmoulins,row670,679,Chap. CLXXXIIII,De la mercuriale sauvage.
desmoulins,row671,680,Chap. CLXXXV,Du grand heliotropium.
desmoulins,row672,680,Chap. CLXXXVI,Du petit heliotropium.
desmoulins,row673,682,Chap. CLXXXVIII,De scorpioides.
desmoulins,row674,689,Chap. I,De la vigne.
desmoulins,row675,689,Chap. II,De la vigne sauvage.
desmoulins,row676,689,Chap. III,Du raisin.
desmoulins,row677,690,Chap. IIII,De la passerille.
desmoulins,row678,691,Chap. V,De oenanthe.
desmoulins,row679,691,Chap. VI,Du verius seché au soleil.
desmoulins,row680,692,Chap. VII,De la nature du vin.
desmoulins,row681,694,Chap. VIII,Du verius.
desmoulins,row682,694,Chap. IX,De la depense.
desmoulins,row683,694,Chap. X,Du vin de lambrusques.
desmoulins,row684,695,Chap. XI,D'une sorte de vin miellé.
desmoulins,row685,695,Chap. XII,Du vin miellé.
desmoulins,row686,695,Chap. XIII,De l'eau miellee.
desmoulins,row687,696,Chap. XIIII,De l'eau.
desmoulins,row688,697,Chap. XV,De l'eau marine.
desmoulins,row689,697,Chap. XVI,De l'eau marine miellee.
desmoulins,row690,697,Chap. XVII,Du vinaigre.
desmoulins,row691,698,Chap. XVIII,Du vinaigre mielle.
desmoulins,row692,698,Chap. XIX,De la saumure aigre.
desmoulins,row693,698,Chap. XX,De thymoxalme.
desmoulins,row694,698,Chap. XXI,Du vinaigre scillitic.
desmoulins,row695,699,Chap. XXII,Du vin scillitic.
desmoulins,row696,699,Chap. XXIII,Des vins composez d'eau marine.
desmoulins,row697,700,Chap. XXIIII,Du vin de coings.
desmoulins,row698,700,Chap. XXV,De hydromelum.
desmoulins,row699,700,Chap. XXVI,Du vertus mielle.
desmoulins,row700,700,Chap. XXVII,Du vin de poires.
desmoulins,row701,700,Chap. XXVIII,Du vin oenanthin.
desmoulins,row702,700,Chap. XXIX,Du vin de grenades.
desmoulins,row703,700,Chap. XXX,Du vin rosat.
desmoulins,row704,700,Chap. XXXI,Du vin de grains de meurte.
desmoulins,row705,701,Chap. XXXII,Du vin de meurte.
desmoulins,row706,701,Chap. XXXIII,Du vin de lentisque et de terebinthe.
desmoulins,row707,701,Chap. XXXIIII,Du vin de dattes
desmoulins,row708,701,Chap. XXXV,Du vin de figues seches.
desmoulins,row709,701,Chap. XXXVI,Du vin de resine.
desmoulins,row710,701,Chap. XXXVII,Du vin de pommes de pin.
desmoulins,row711,701,Chap. XXXVIII,"Du vin de cedre, et queleques autres arbres et fruits."
desmoulins,row712,702,Chap. XXXIX,Du vin poissé.
desmoulins,row713,702,Chap. XL,Du vin d'absinthe.
desmoulins,row714,702,Chap. XLI,Du vin d'hyssope.
desmoulins,row715,702,Chap. XLII,Des vins composez de diverses plantes.
desmoulins,row716,702,Chap. XLIII,Du vin aromatique.
desmoulins,row717,703,Chapitre XLIIII,Des vins composez de diverses drogues.
desmoulins,row718,703,Chapitre XLV,Des vins composez de plusieurs herbes.
desmoulins,row719,704,Chap. XLVI,De la cadmie.
desmoulins,row720,705,Chapitre XLVI,"De pompholyx, spodium, antispodium."
desmoulins,row721,707,Chap. XLVII,De l'erain brulé.
desmoulins,row722,707,Chap. XLVIII,De la fleur d'erain.
desmoulins,row723,708,Chap. XLIX,De l'escaille d'erain.
desmoulins,row724,708,Chap. L,De l'escaille d'acier.
desmoulins,row725,709,Chap. LI,Du verdegris.
desmoulins,row726,710,Chap. LII,Du verdegris scolecien.
desmoulins,row727,710,Chap. LIII,De la rouillure de fer.
desmoulins,row728,710,Chap. LIIII,De la merde de fer.
desmoulins,row729,711,Chap. LV,Du plomb lavé.
desmoulins,row730,711,Chap. LVI,Du plomb brulé.
desmoulins,row731,711,Chap. LVII,De l'ecume de plomb.
desmoulins,row732,711,Chap. LVIII,De la pierre plombiere.
desmoulins,row733,712,Chap. LIX,De l'antimoine.
desmoulins,row734,714,Chap. LX,De la plombagine.
desmoulins,row735,715,Chap. LXI,De l'escume d'argent.
desmoulins,row736,715,Chap. LXII,De la litharge.
desmoulins,row737,716,Chap. LXIII,De la ceruse.
desmoulins,row738,717,Chap. LXIIII,Du borras.
desmoulins,row739,717,Chap. LXV,De la pierre d'Armenie.
desmoulins,row740,719,Chap. LXVI,De la pierre d'azur.
desmoulins,row741,719,Chap. LXVII,De l'Inde.
desmoulins,row742,720,Chap. LXVIII,De l'ochre.
desmoulins,row743,720,Chap. LXIX,Du cinabre.
desmoulins,row744,722,Chap. LXX,De l'argent vif.
desmoulins,row745,723,Chap. LXXI,De la rubrique sinopique.
desmoulins,row746,724,Chap. LXXII,De la croye rouge.
desmoulins,row747,724,Chap. LXXIII,De la terre seellee.
desmoulins,row748,727,Chap. LXXIIII,Du vitriol.
desmoulins,row749,729,Chap. LXXV,De chalcitis.
desmoulins,row750,729,Chap. LXXVI,De misy.
desmoulins,row751,729,Chap. LXXVII,De melanteria.
desmoulins,row752,729,Chap. LXXVIII,Du sory.
desmoulins,row753,731,Chap. LXXIX,De diphryges.
desmoulins,row754,731,Chap. LXXX,De l'orpiment.
desmoulins,row755,731,Chap. LXXXI,De la sandarache.
desmoulins,row756,732,Chap. LXXXII,De l'alum.
desmoulins,row757,734,Chap. LXXXIII,Du souffre.
desmoulins,row758,735,Chap. LXXXIIII,De la pierreponce.
desmoulins,row759,735,Chap. LXXXV,Du sel.
desmoulins,row760,736,Chap. LXXXVI,De l'escume de sel.
desmoulins,row761,736,Chap. LXXXVII,De la saumure.
desmoulins,row762,736,Chap. LXXXVIII,De la fleur du sel.
desmoulins,row763,738,Chap. LXXXIX,Du nitre et ecume de nitre.
desmoulins,row764,739,Chap. XC.,De la lye.
desmoulins,row765,739,Chap. XCI,De la chaux vive.
desmoulins,row766,739,Chap. XCII,Du plastre.
desmoulins,row767,740,Chap. XCIII,Des cendres de sarments.
desmoulins,row768,740,Chap. XCIIII,De alcyonium.
desmoulins,row769,741,Chap. XCV,De adarce.
desmoulins,row770,741,Chap. XCVI,Des esponges.
desmoulins,row771,742,Chap. XCVII,Du corail.
desmoulins,row772,743,Chap. XCVIII,De la pierre phrygienne.
desmoulins,row773,743,Chap. XCIX,De la pierre d'Asso ou assienne.
desmoulins,row774,744,Chap. C,De la marchassite.
desmoulins,row775,745,Chap. CI,De la pierre hematite.
desmoulins,row776,745,Chap. CII,De la pierre scissille.
desmoulins,row777,746,Chap. CIII,De la pierre gagate.
desmoulins,row778,747,Chap. CIIII,De la pierre thracienne.
desmoulins,row779,747,Chap. CV,De la pierre d'aymant.
desmoulins,row780,748,Chap. CVI,De la pierre arabique.
desmoulins,row781,748,Chap. CVII,De la pierre de laict.
desmoulins,row782,748,Chap. CVIII,De la pierre melitite.
desmoulins,row783,748,Chap. CIX,De la pierre morochthus.
desmoulins,row784,749,Chap. CX,De l'alabastre.
desmoulins,row785,749,Chap. CXI,De la pierre thyite.
desmoulins,row786,749,Chap. CXII,De la pierre iudaique.
desmoulins,row787,750,Chapitre CXIII,De la pierre amiantus ou alum de plume.
desmoulins,row788,750,Chap. CXIIII,Du sapphir.
desmoulins,row789,750,Chap. CXV,De la pierre memphites.
desmoulins,row790,751,Chap. CXVI,De la pierre selenite.
desmoulins,row791,751,Chap. CXVII,Du iaspe.
desmoulins,row792,752,Chap. CXVIII,De la pierre d'aigle.
desmoulins,row793,752,Chap. CXIX,De la pierre serpentine.
desmoulins,row794,752,Chap. CXX,Des pierres des esponges.
desmoulins,row795,752,Chap. CXXI,De la colle des pierres.
desmoulins,row796,753,Chap. CXXII,De la pierre ostracite.
desmoulins,row797,753,Chap. CXXIII,De l'emeri.
desmoulins,row798,753,Chap. CXXIIII,Du sable du rivage de mer.
desmoulins,row799,753,Chap. CXXV,De la pierre naxienne.
desmoulins,row800,753,Chap. CXXVI,De la pierre geodes.
desmoulins,row801,753,Chap. CXXVII,De toute terre en general.
desmoulins,row802,753,Chap. CXXVIII,De la terre eretrienne.
desmoulins,row803,754,Chap. CXXIX,De la terre Samienne
desmoulins,row804,754,Chap. CXXX,De la pierre Samienne
desmoulins,row805,754,Chap. CXXXI,De la terre de Chio
desmoulins,row806,754,Chap. CXXXII,De la terre Selinusienne
desmoulins,row807,754,Chap. CXXXIII,De la terre Cimolie
desmoulins,row808,754,Chap. CXXXIIII,De la terre pnigite
desmoulins,row809,754,Chap. CXXXV,Des tez des fourneaux
desmoulins,row810,754,Chap. CXXXVI,De la terre fourneaux
desmoulins,row811,755,Chap. CXXXVII,De la terre melienne.
desmoulins,row812,755,Chap. CXXXVIII,De la terre ampelite.
desmoulins,row813,755,Chap. CXXXIX,De la suye des peintres.
desmoulins,row814,755,Chap. CXL,De l'encre a ecrire.
