berendes_book.chapter	berendes_name
1.1	Iris
1.2	Akoron
1.3	Bärwurz
1.4	Cyperngras
1.5	Kardamomon
1.6	Narde
1.7	Keltische Narde
1.8	Bergnarde
1.9	Haselwurz
1.10	Phu
1.11	Malabathron
1.12	Kassia
1.13	Zimmt
1.14	Amomum
1.15	Kostus
1.16	Bartgras
1.17	Kalmus
1.18	Balsam
1.19	Aspalathos
1.20	Bryon
1.21	Agallochon
1.22	Naskaphthon
1.23	Kankamon
1.24	Kyphi
1.25	Safran
1.26	Krokomagma
1.27	Alant
1.28	Aegyptischer Alant
1.29	Oel aus unreifen Oliven
1.30	Gewöhnliches Oel
1.31	Oel des wilden Oelbaumes
1.32	Weisses Oel
1.33	Sikyonisches Oel
1.34	Der Schmutz der Bäder
1.35	Der Schmutz aus den Ringplätzen
1.36	Der Schmutz der Turnplätze
1.37	Honigöl
1.38	Ricinusöl
1.39	Mandelöl
1.40	Behenöl
1.41	Sesam- und Wallnussöl
1.42	Bilsenöl
1.43	Knidisches Oel
1.44	Safloröl
1.45	Rettigöl
1.46	Schwarzkümmelöl
1.47	Senföl
1.48	Myrtenöl
1.49	Lorbeeröl
1.50	Oel des Mastixbaumes
1.51	Mastixharzöl
1.52	Die Zusammensetzung der Salböle
1.53	Die Bereitung des Rosenöls
1.54	Die Bereitung des Elatsöls
1.55	Die Bereitung des Quittenöls
1.56	Die Bereitung des Weinblüthenöls
1.57	Die Bereitung des Bockshornöls
1.58	Die Bereitung des Majoranöls
1.59	Die Bereitung des Basilicumöls
1.60	Die Bereitung des Beifussöls
1.61	Die Bereitung des Dillöls
1.62	Die Bereitung des susischen Salböls
1.63	Die Bereitung des Narzissensalböls
1.64	Die Bereitung des Safransalböls
1.65	Die Verdichtung und Bereitung des (Lawsonien-) Hennasalböls
1.66	Die Verdichtung des Schwertlilienöls
1.67	Die Bereitung des Mostöls
1.68	Amarakinon (Majoransalböl)
1.69	Megalion
1.70	Hedychon
1.71	Metopion
1.72	Mendesion
1.73	Stakte
1.74	Zimmtsalböl
1.75	Nardensalböl
1.76	Malabathronsalböl
1.76	Jasminöl
1.77	Myrrhe
1.78	Böotische Myrrhe
1.79	Styrax
1.80	Bdellion
1.81	Weihrauch
1.82	Weihrauchrinde
1.83	Manna des Weihrauchs
1.84	Weihrauchruss
1.85	Bereitung des Russes
1.86	Pinie
1.87	Pityiden
1.88	Zapfen
1.89	Schinos
1.90	Mastixharz
1.91	Terebinthe
1.92	Andere Harze
1.93	Die Art und Weise das Harz zu brennen
1.94	Flüssiges Pech
1.95	Theeröl
1.96	Russ des Theers
1.97	Pech
1.98	Zopissa
1.99	Asphalt
1.100	Pissasphalt
1.101	Naphtha
1.102	Cypresse
1.103	Wachholder
1.104	Sadebaum
1.105	Ceder
1.106	Lorbeer
1.107	Platane
1.108	Manna-Esche
1.109	Weisspappel
1.110	Schwarzpappel
1.111	Makir
1.112	Ulme
1.113	Fäule des Holzes
1.114	Rohr
1.115	Papyrus
1.116	Tamariske
1.117	Heide
1.118	Akakalis
1.119	Wegdorn
1.120	Melde
1.121	Paliuros
1.122	Oxyankantha
1.123	Kynosbatos
1.124	Lawsonia
1.125	Phillyrea
1.126	Kistos
1.127	Hypokistis
1.128	Ladanum
1.129	Ebenholz
1.130	Rosen
1.131	Rosenpastillen
1.132	Lykion
1.133	Akazie
1.134	Keuschlammstrauch
1.135	Weide
1.136	Wilder Oelbaum
1.137	Oelbaum
1.138	In Salzlake eingemachte Oliven
1.139	Oel aus der wilden Olive
1.140	Oelsatz
1.141	Thräne des Äthiopischen Oelbaumes
1.142	Eiche
1.143	Eicheln
1.144	Speiseeiche und Ilexeiche
1.145	Kastanien
1.146	Galläpfel
1.147	Gerbersumach
1.148	Dattelpalme
1.149	Thebanische Datteln
1.150	Blüthenscheide der Palme
1.151	Granatapfel
1.152	Granatblüthe
1.153	Granatrinde
1.154	Balaustion
1.155	Myrte
1.156	Myrtidanon
1.157	Kirschen
1.158	Johannisbrodfrucht
1.159	Apfelbaum
1.160	Quittenäpfel
1.161	Honigäpfel
1.162	Epirotische Aepfel
1.163	Wilde Aepfel
1.164	Pfirsiche
1.165	Armenische Aepfel
1.166	Medische Aepfel
1.167	Birne
1.168	Wilder Birnbaum
1.169	Mispel
1.170	Die andere Mispel
1.171	Lotos
1.172	Kornelkirsche
1.173	Speierlingsfrucht
1.174	Pflaumenbaum
1.175	Erdbeerbaum
1.176	Mandelbaum
1.177	Pistacien
1.178	Wallnüsse
1.179	Haselnüsse
1.180	Maulbeerbaum
1.181	Sykomore
1.182	Feige auf Kypern
1.183	Feigen
1.184	Wilder Feigenbaum
1.185	Winterfeigen
1.186	Aschenlauge des Feigenbaumes
1.187	Persea
2.1	Seeigel
2.2	Landigel
2.3	Seepferdchen
2.4	Purpurschnecke
2.5	Trompetenschnecke
2.6	Kionion
2.7	Miesmuschel
2.8	Plattmuscheln
2.9	Chienmuschel
2.10	Onyx
2.11	Schnecken
2.12	Krebse
2.13	Landskorpion
2.14	Seeskorpion
2.15	Meerdrache
2.16	Skolopender
2.17	Zitterrochen
2.18	Otter
2.19	Schlangenhaut
2.20	Meerhase
2.21	Landhase
2.22	Stechrochen
2.23	Tintenfisch
2.24	Seebarbe
2.25	Hoden des Flusspferdes
2.26	Hoden des Bibers
2.27	Hauswiesel
2.28	Frösche
2.29	Wels
2.30	Brasse
2.31	Mäna
2.32	Gobion
2.33	Rohe Pökelung
2.34	Garum
2.35	Brühe von frischen Fischen
2.36	Wanzen
2.37	Kubariden
2.38	Schabe
2.39	Seelunge
2.40	Schweinelunge
2.41	Fuchslunge
2.42	Eselleber
2.43	Kurzwildpret des Edelhirsches
2.44	Eselshufe
2.45	Flechten der Pferde
2.46	Ziegenklauen
2.47	Ziegenleber
2.48	Leber des Ebers
2.49	Leber des tollen Hundes
2.50	Leber des Tauchers
2.51	Sohlleder
2.52	Hühner
2.53	Gehirn des Huhns
2.54	Ei
2.55	Das Weisse vom Ei
2.56	Cikaden
2.57	Heuschrecken
2.58	Phinis
2.59	Haubenlerche
2.60	Schwalbe
2.61	Elephant
2.62	Sprungbein des Schweines
2.63	Hirschhorn
2.64	Raupen
2.65	Kanthariden
2.66	Buprestis
2.67	Salamander
2.68	Spinne
2.69	Eidechse
2.70	Seps
2.71	Skink
2.72	Eingeweide der Erde (Erdwürmer)
2.73	Spitzmaus
2.74	Mäuse
2.75	Milch
2.76	Molken
2.77	Geronnene Milch
2.78	Frauenmilch
2.79	Frischer Käse
2.80	Hippake
2.81	Butter und der aus ihr bereitete Russ
2.82	Wolle
2.83	Gebrannte Wolle
2.84	Wollfett
2.85	Lab
2.86	Fett
2.87	Schweine- und Bärenfett
2.88	Ziegenbock-, Schaf- und Hirschfett
2.89	Rinderfett
2.90	Stier-, Panther- und Löwenfett
2.91	Wie das Fett gewürzt wird
2.92	Wie das Fett mit Majoran gewürzt wird
2.93	Gänse- und Hühnerfett
2.94	Die Kraft der Fette
2.95	Mark
2.96	Jegliche Art Galle
2.97	Blut
2.98	Koth
2.99	Urin
2.100	Lyngurion
2.101	Honig
2.102	Honig in Sardinien
2.103	Pontischer Honig
2.104	Honig des Zuckerrohrs
2.105	Wachs
2.106	Vorwachs
2.107	Weizen
2.108	Gerste
2.109	Zythos
2.110	Kurmi
2.111	Dinkel
2.112	Schrot
2.113	Olyra
2.114	Athera
2.115	Tragos
2.116	Hafer
2.117	Reis
2.118	Graupen
2.119	Hirse
2.120	Mohrenhirse
2.121	Sesam
2.122	Taumellolch
2.123	Stärkemehl
2.124	Bockshornmehl
2.125	Lein
2.126	Erbse
2.127	Griechische Bohne
2.128	Aegyptische Bohne
2.129	Linse
2.130	Zwergbohne
2.131	Linsenwicke
2.132	Lupine
2.133	Wilde Lupine
2.134	Weisse Rübe
2.135	Wilde weisse Rübe
2.136	Feldkohl
2.137	Rettig
2.138	Wilder Rettig
2.139	Sisaron
2.140	Ampfer
2.141	Hippolapathon
2.142	Grauer Senf
2.143	Gemüseamaranth
2.144	Malve
2.145	Gartenmelde
2.146	Kohl
2.147	Wilder Kohl
2.148	Meerkohl
2.149	Bete
2.150	Portulak
2.151	Spargel
2.152	Wegerich
2.153	Merk
2.154	Sisymbrion
2.155	Das andere Sisymbrion
2.156	Meerfenchel
2.157	Niedriger Schotenklee
2.158	Gänsedistel
2.159	Seris
2.160	Knorpelsalat
2.161	Kürbis
2.162	Gebaute Gurke
2.163	Melone
2.164	Gartenlattich
2.165	Wilder Lattich
2.166	Gingidion
2.167	Venuskamm
2.168	Steinbrech
2.169	Rauke
2.170	Basilicum
2.171	Orobanche
2.172	Bocksbart
2.173	Vogelmilch
2.174	Trüffel
2.175	Vietsbohne
2.176	Luzerne
2.177	Vogelwicke
2.178	Lauch
2.179	Weinlauch
2.180	Zwiebeln
2.181	Knoblauch
2.182	Skorodoprason
2.183	Senf
2.184	Kardamon
2.185	Hirtentäschlein
2.186	Türkische Kresse
2.187	Vielschotige Rauke
2.188	Pfeffer
2.189	Ingwer
2.190	Wasserpfeffer
2.191	Niesgarbe
2.192	Seifenkraut
2.193	Erdscheibe
2.194	Der andere Kyklaminos
2.195	Grosse Drachenwurz
2.196	Kleindrachenwurz
2.197	Aron
2.198	Arisaron
2.199	Asphodelos
2.200	Speisezwiebel
2.201	Brechzwiebel
2.202	Meerzwiebel
2.203	Gilge
2.204	Kapper
2.205	Gartenkresse
2.X	Iberis
2.206	Batrachion
2.207	Anemone
2.208	Argemone
2.209	Gauchheil
2.210	Epheu
2.211	Grosses Chedonion
2.212	Kleines Chelidonion
2.213	Othonna
2.214	Mauseohr
2.216	Wilder Waid
2.217	Wachsblume
3.1	Lärchenschwamm
3.2	Rhapontik
3.3	Enzian
3.4	Osterluzei
3.5	Süssholz
3.6	Grosses Kentaurion
3.7	Kleines Kentaurion
3.8	Weisses Chamaileon
3.9	Schwarzes Chamaileon
3.10	Krokodeilion
3.11	Karde
3.12	Weisse Akantha
3.13	Arabische Akantha
3.14	Golddistel
3.15	Poterion
3.16	Eselsdistel
3.17	Akantha
3.18	Hauhechel
3.19	Leukakantha
3.20	Tragakantha
3.21	Mannstreu
3.22	Aloë
3.23	Wermuth
3.24	Seebeifuss
3.25	Santoninbeifuss
3.26	Abrotonon
3.27	Hyssopos
3.28	Stoichas
3.29	Dosten
3.30	Onetis
3.31	Wilder Dosten
3.32	Tragoriganon
3.33	Polei
3.34	Diptam
3.35	Salbei
3.36	Gebaute Minze
3.37	Kalamintha
3.38	Saturei
3.39	Thymbra
3.40	Quendel
3.41a	Majoran
3.41b	Steinklee
3.42	Maron
3.43	Akinos
3.44	Bakcharis
3.45	Raute
3.46	Wilde Raute
3.47	Moly
3.48	Panakes
3.49	Asklepisches Panakes
3.50	Cheironisches Panakes
3.51	Ligustikon
3.52	Möhre
3.53	Massiliensisches Seseli
3.54	Aethiopisches Seseli
3.55	Peleponnesisches Seseli
3.56	Tordylion
3.57	Sison
3.58	Anis
3.59	Kümmel
3.60	Dill
3.61	Mutterkümmel
3.62	Wilder Mutterkümmel
3.63	Ammi
3.64	Koriander
3.65	Grosses Hierakion
3.66	Kleines Hierakion
3.67	Gartensellerie
3.68	Sellerie
3.69	Oreoselinon
3.71	Petroselinon
3.71	Hipposelinon
3.72	Smyrnion
3.73	Pastinak
3.74	Fenchel
3.75	Hippomarathron
3.76	Daukos
3.77	Delphinion
3.78	Bertramwurz
3.79	Libanotis
3.80	Bärenklau
3.81	Steckenkraut
3.82	Haarstrang
3.83	Schwarzkümmel
3.84	Silphion
3.85	Sagapenon
3.86	Euphorbion
3.87	Galbanum
3.88	Ammoniakum
3.89	Sarkokolla
3.90	Glaukion
3.91	Leim
3.92	Ichthyokolla
3.93	Ixos
3.94	Wandlabkraut
3.95	Alysson
3.96	Asklepias
3.97	Atraktylis
3.98	Polyknemon
3.99	Wirbeldosten
3.100	Leontopetalon
3.101	Gamander (Teukrion)
3.102	Chamaidrys
3.103	Leukas
3.104	Kranznelke
3.105	Wilde Nelke
3.106	Lilie
3.107	Ballote
3.108	Melisse
3.109	Prasion
3.110	Ziest
3.111	Hirschzunge (111)
3.112	Phalangion
3.113	Asphaltklee
3.114	Gamander (Polion)
3.115	Knoblauch-Gamander
3.116	Huflattich
3.117	Beifuss
3.118	Zartblätterige Artemisia
3.119	Ambrosia
3.120	Traubenkraut
3.121	Storchschnabel
3.122	Gnaphalion
3.123	Rohkolben
3.124	Kirkaia
3.125	Oinanthe
3.126	Konyza
3.127	Hemerokallis
3.128	Goldlack
3.129	Krataiogonon
3.130	Phyllon
3.131	Knabenkraut
3.132	Anderes Knabenkraut
3.133	Satyrion
3.134	Satyrion erythronion
3.135	Kleiner Salbei
3.136	Hedysaron
3.137	Onosma
3.138	Weisse Seerose
3.139	Andere Seerose
3.140	Androsakes
3.141	Milzfarn
3.142	Hirschzunge (142)
3.143	Anthyllis
3.144	Kamille
3.145	Parthenion
3.146	Wucherblume
3.147	Gichtrose
3.148	Steinsamen
3.149	Glanzgras
3.150	Krapp
3.151	Zungensumpfwurz
3.152	Andere Zungensumpfwurz
3.153	Eibisch
3.154	Malope
3.155	Gebauter Hanf
3.156	Wilder Hanf
3.157	Stinkstrauch
3.158	Zwiebelpfeffer
3.159	Froschlöffel
3.160	Esparset
3.161	Hartheu
3.162	Gemeines Hartheu
3.163	Androsaimon
3.164	Koris
3.165	Chamaipitys
3.166	Andere Chamaipitys
4.1	Kestron
4.2	Bretannika
4.3	Lysimachion
4.4	Männliches Polygonon
4.5	Weibliches Polygonon
4.7	Immergrün
4.8	Polemonion
4.9	Felsensymphyton
4.10	Anderes Symphyton
4.11	Holosteon
4.12	Becherblume
4.13	Klymenon
4.14	Periklymenon
4.15	Tribolos
4.X	Saxifragon
4.16	Limoneion
4.17	Hasenklee
4.18	Medion
4.19	Epimedion
4.20	Siegwurz
4.21	Sparganion
4.22	Xyris
4.23	Ochsenzunge
4.24	Andere Anchusa
4.25	Weitere Anchusa
4.26	Natternkopf
4.27	Echion
4.28	Okimoeides
4.29	Erinos
4.30	Agrostis
4.31	Kalamagrostis
4.32	Agrostis aus Parnass
4.33	Sideritis
4.34	Andere Sideritis
4.35	Weitere Sideritis
4.36	Garbe
4.37	Brombeer
4.38	Himbeer
4.39	Ackerwinde
4.40	Elatine
4.41	Odermenning
4.42	Gänsefuss
4.43	Phoinix
4.44	Idäische Wurzel
4.45	Rhodiaswurzel
4.46	Hippuris
4.47	Andere Hippuris
4.48	Färberkokkos
4.49	Tragion
4.50	Anderes Tragion
4.51	Tragos (Skorpion)
4.52	Sumpfschoinos
4.53	Flechte
4.54	Paronychia
4.55	Goldhaar
4.56	Chrysogonon
4.57	Elichryson
4.58	Goldblume
4.59	Ageraton
4.60	Taubenkraut
4.61	Zurückgebogenes Peristereon
4.62	Walderbse
4.63	Hyacinthe
4.64	Mekon Rhoias
4.65	Gartenmohn
4.66	Hornmohn
4.67	Mekon aphrodes
4.68	Hypekoon
4.69	Bilsenkraut
4.70	Flohkraut
4.71	Strychnos
4.72	Strychnos Halikakabos
4.73	Schlafstrychnos
4.74	Strychnos manikos
4.75	Doryknion
4.76	Alraun
4.77	Akoniton
4.78	Anderes Akoniton
4.79	Schierling
4.80	Eibe
4.81	Hundswürger
4.82	Oleander
4.83	Pilze
4.84	Zeitlose
4.85	Ephemeron
4.86	Glaskraut
4.87	Wasserlinse
4.88	Grosse Hauswurz
4.89	Kleine Hauswurz
4.91	Andere Hauswurz
4.90	Nabelblatt
4.91	Anderes Nabelkraut
4.92	Nessel
4.93	Galiopsis
4.94	Labkraut
4.95	Kreuzwurz
4.96	Wiesenraute
4.97	Meerlattich
4.98	Meertang
4.99	Laichkraut
4.100	Stratiotes
4.101	Tausendblätteriger Stratiotes
4.102	Königskerze
4.103	Aithiopis
4.104	Arktion
4.105	Klette
4.106	Petasites
4.107	Epipaktis
4.108	Erdrauch
4.109	Gebauter Lotos
4.110	Wilder Lotos
4.111	Schneckenklee
4.112	Aegyptischer Lotos
4.113	Tausendblatt
4.114	Körbel
4.115	Myagros
4.116	Weidenröschen
4.117	Kirsion
4.118	Attische Aster
4.119	Isopyron
4.120	Veilchen
4.121	Kakalia
4.122	Bunion
4.123	Pseudobunion
4.124	Chamaikissos
4.125	Chamaipeuke
4.126	Italienische Ochsenzunge
4.127	Hundzunge
4.128	Phyteuma
4.129	Leontopodion
4.130	Hypoglosson
4.131	Löwenmaul
4.132	Katananka
4.133	Tripolion
4.134	Frauenhaar
4.135	Streifenfarn
4.136	Spitzklee
4.137	Aigilops
4.138	Bromos
4.139	Glaux
4.140	Kreuzblume
4.141	Osyris
4.142	Rauher Smilax
4.143	Glatter Smilax
4.144	Stechmyrte
4.145	Alexandrinische Daphne
4.146	Daphnoides
4.147	Chamaidaphne
4.148	Weisse Nieswurz
4.149	Schwarze Nieswurz
4.150	Grosses Sesamoeides
4.151	Kleines Sesamoeides
4.152	Wilde Gurke
4.155	Elaterion
4.153	Scharfer Rittersporn
4.154	Thapsia
4.155	Pfriemen
4.156	Mariendistel
4.157	Salbeneichel
4.158	Narzisse
4.159	Stachelige Wolfsmilch
4.160	Hippophaiston
4.161	Wunderbaum
4.162	Wolfsmilcharten
4.163	Pityusa
4.164	Lathyris
4.165	Peplos
4.166	Peplis
4.167	Erdfeige
4.168	Purgirwinde
4.169	Bergseidelbast
4.170	Südlicher Seidelbast
4.171	Hollunder
4.172	Zwerghollunder
4.173	Pyknokomon
4.174	Birnwolfsmilch
4.175	Koloquinthe
4.176	Flachsseide
4.177	Alypon
4.178	Empetron
4.179	Klematis
4.180	Wilde Rebe
4.181	Weisse Rebe
4.182	Schwarze Rebe
4.183	Wurmfarn
4.184	Saumfarn
4.185	Tüpfelfarn
4.186	Eichenfarn
4.187	Saflor
4.188	Bingelkraut
4.189	Hundskohl
4.190	Grosses Heliotropion
4.191	Kleines Heliotropion
4.192	Skorpionskraut
5.1	Weinstock
5.2	Wilder Weinstock
5.3	Weintraube
5.4	Rosine
5.5	Oinanthe (Frucht des wilden Weinstockes)
5.6	Omphakion
5.7	Die Eigenschaft der Weine nach ihrem Alter
5.8	Nach der Farbe
5.9	Nach dem Geschmack und den Zusätzen
5.10	Unterschied nach den Ursprungsgegenden
5.11	Kräfte der Weine
5.12	Omphakiteswein
5.13	Zweiter und kraftloser Wein
5.14	Wein aus der wilden Traube
5.15	Honigwein
5.16	Oinomeli
5.17	Melikraton
5.18	Wasser
5.19	Meerwasser
5.20	Honigmeerwasser
5.21	Essig
5.22	Sauerhonig
5.23	Salzessig
5.24	Thymoxalme
5.25	Meerzwiebelessig
5.26	Meerzwiebelwein
5.27	Meerwasserwein
5.28	Andere künstliche Weine
5.29	Apfelhonig
5.30	Wassermeth
5.31	Herbetraubenmeth
5.32	Birnenwein
5.33	Weinblüthenwein
5.34	Granatenwein
5.35	Rosenwein
5.36	Myrtenbeerenwein
5.37	Myrtenwein
5.38	Mastixwein
5.39	Terebinthenwein
5.40	Dattelwein
5.41	Feigenwein
5.42	Sykomorenwein
5.43	Geharzter Wein
5.44	Zirbelnusswein
5.45	Cedernwein
5.46	Wachholderwein
5.47	Cedernharzwein
5.48	Pechwein
5.49	Wermuthwein
5.50	Hysopwein
5.51	Gamanderwein
5.52	Lavendelwein
5.53	Lavendelessig
5.54	Gliedkrautwein
5.55	Tragoriganoswein
5.56	Erdknotenwein
5.57	Diptamwein
5.58	Andornwein
5.59	Thymianwein
5.60	Satureiwein
5.61	Dostenwein
5.62	Minzen-, Polei- und Beifusswein
5.63	Berufskrautwein
5.64	Gewürzter Wein
5.65	Wein aus Myrrhe, Pfeffer und Schwertlilie
5.66	Nektarwein
5.67	Wein aus syrischer und keltischer Narde und aus Malabathron
5.68	Aronswein
5.69	Wein aus der wilden Narde
5.70	Möhrenwein
5.71	Salbeiwein
5.72	Panaxwein
5.73	Akoronwein
5.74	Selleriewein
5.75	Fenchel- und Dillwein
5.76	Salzblüthewein
5.77	Abortivwein
5.78	Seidelbastwein
5.79	Bergseidelbastwein
5.80	Günselwein
5.81	Mandragorawein
5.82	Nieswurzwein
5.83	Purgirwindenwein
5.84	Kadmeia
5.85	Pompholyx
5.86	Antispodon
5.87	Gebranntes Kupfer
5.88	Kupferblüthe
5.89	Kupferhammerschlag
5.90	Eisenhammerschlag
5.91	Abgekratzter Grünspan
5.92	Wurmförmiger Grünspan
5.93	Eisenrost
5.94	Eisenschlacke
5.95	Gewaschenes Blei
5.96	Gebranntes Blei
5.97	Bleischlacke
5.98	Bleistein
5.99	Stimmi
5.100	Molybdaina
5.101	Silberschlacke
5.102	Bleiglätte
5.103	Bleiweiss
5.104	Chrysokolla
5.105	Armenion
5.106	Kyanos
5.107	Indikon
5.108	Ochra
5.109	Kinnabari
5.110	Quecksilber
5.111	Sinopischer Röthel
5.112	Röthel der Handwerker
5.113	Lemnische Erde
5.114	Chalkanthos
5.115	Chalkitis
5.116	Psorikon
5.116	Misy
5.117	Melanteria
5.118	Sory
5.119	Diphryges
5.120	Arsenikon
5.121	Sandaracha
5.122	Stypteria
5.123	Schwefel
5.124	Bimsstein
5.125	Salze
5.126	Salzschaum
5.127	Salzlake
5.128	Salzblüthe
5.129	Natron
5.130	Natronschaum
5.131	Weinabsatz
5.132	Gebrannter Kalk
5.133	Gyps
5.134	Weinrebenasche
5.135	Halkyonion
5.136	Adarkes
5.137	Schwämme
5.138	Koralle
5.139	Antipathes
5.140	Phrygischer Stein
5.141	Assischer Stein
5.142	Pyritesstein
5.143	Blutstein
5.144	Spaltstein
5.145	Gagatstein
5.146	Thrakischer Stein
5.147	Magnetstein
5.148	Arabischer Stein
5.149	Milchstein
5.150	Honigstein
5.151	Morochthosstein
5.152	Alabasterstein
5.153	Thyitesstein
5.154	Judenstein
5.155	Amiantstein
5.156	Sapphir
5.157	Memphitstein
5.158	Selenitstein
5.159	Jaspisstein
5.160	Aëtitstein
5.161	Schlangenstein
5.162	Schwammsteine
5.163	Steinkitt
5.164	Ostrakitstein
5.165	Smirgel
5.166	Sand
5.167	Schleifstein
5.168	Geodes-Stein
5.169	Erde
5.170	Eretrische Erde
5.171	Samische Erde
5.172	Stein in der samischen Erde
5.173	Erde von Chios
5.174	Selinusische Erde
5.175	Kimolische Erde
5.176	Pnigit-Erde
5.177	Ziegel
5.178	Erde aus den Öfen
5.179	Melische Erde
5.180	Weinstockerde
5.181	Russ
5.182	Tinte
